poi_lat,poi_lon,category
5.9498703,80.5182723,schools
5.9497055,80.5181874,schools
6.0177595,80.3780331,schools
6.1986244,80.4675091,schools
6.2122394,80.107557,schools
5.9430569,80.5522415,schools
6.098179,80.8766172,schools
6.1387625,80.1124368,schools
5.9819953,80.4955612,schools
5.9861167,80.5212696,schools
6.2916888,80.6351356,schools
6.2530184,80.7647572,schools
6.192566,80.6462062,schools
6.1088974,80.9781893,schools
6.2382497,81.16579,schools
6.0666309,80.8368113,schools
6.277554,80.959271,schools
6.3076982,80.9977705,schools
6.1558153,80.9745414,schools
6.2275813,80.8260271,schools
6.2000933,80.8210995,schools
6.1424728,80.8118445,schools
6.046696,80.7359502,schools
6.0533982,80.7332356,schools
6.1800608,80.7661124,schools
6.2047236,80.7652195,schools
6.167255,80.7645565,schools
6.2625611,80.7619697,schools
6.2168558,80.7399138,schools
6.1956379,80.7297319,schools
6.1673177,80.7462558,schools
6.1531779,80.6725914,schools
6.2183555,80.6364112,schools
6.24103,80.6593794,schools
6.2686118,80.7268874,schools
6.0732899,80.7040629,schools
6.0727137,80.7048242,schools
6.0420728,80.696845,schools
5.9852971,80.7255938,schools
6.4812393,80.7081622,schools
6.0865217,80.2421636,schools
6.1273633,80.4249129,schools
6.1477497,80.4191297,schools
6.2780512,80.4572139,schools
6.3136974,80.4028435,schools
6.2605129,80.6044644,schools
6.2707471,80.4980535,schools
6.0378996,80.2300911,schools
6.39735,80.2127255,schools
6.4414042,80.4211975,schools
6.1416376,80.1019365,schools
6.2120997,80.1075058,schools
5.9983577,80.5563126,schools
6.0201828,80.5603767,schools
6.0382514,80.560233,schools
6.0486909,80.5613997,schools
6.1083338,80.5625683,schools
6.1266795,80.5558424,schools
6.1567386,80.5755598,schools
6.1960948,80.582268,schools
6.2039717,80.5935868,schools
6.2433502,80.6090213,schools
6.2561318,80.6046682,schools
6.0197197,80.7182173,schools
6.448947,80.5118922,schools
6.424193,80.517844,schools
6.4541375,80.4339606,schools
6.4354284,80.1132818,schools
6.4362936,80.112811,schools
5.9492001,80.5838299,schools
5.9486163,80.5832967,schools
5.9591007,80.5983128,schools
5.9450409,80.5995956,schools
6.112234,80.9313321,schools
6.4231375,80.6529388,schools
6.0775044,80.1658585,schools
5.9482992,80.4621344,schools
5.9347655,80.6068466,schools
6.044109,80.626793,schools
5.9391937,80.4771198,schools
6.1552914,80.6030363,schools
5.9524398,80.5354556,schools
5.9724592,80.4328071,schools
5.9743287,80.4368598,schools
6.2422709,80.2541754,schools
6.310869,80.2425313,schools
6.2988828,80.3180972,schools
6.3663013,80.2159915,schools
6.238274,80.3315565,schools
6.2623571,80.3243776,schools
6.266755,80.4134725,schools
6.3070434,80.3598444,schools
6.3723117,80.3104556,schools
6.3548355,80.3167614,schools
6.2521128,80.3236839,schools
6.3102399,80.3174092,schools
5.943437,80.494334,schools
5.9856689,80.7307655,schools
6.2957516,80.226379,schools
6.2794352,80.2271569,schools
6.2956148,80.5421483,schools
6.3214728,80.2185188,schools
6.3036416,80.2056697,schools
6.0811988,80.5677326,schools
6.0565577,80.1779605,schools
6.407547,80.108115,schools
6.487127,80.1262759,schools
6.0213363,80.5951244,schools
6.0889026,80.4761208,schools
6.2789901,80.7636596,schools
6.100703,80.5126297,schools
5.9526957,80.5333117,schools
5.9778865,80.440087,schools
6.1473224,80.5872597,schools
5.9512193,80.4673692,schools
6.0283116,80.2160403,schools
6.0247271,80.2175011,schools
6.046984,80.5022349,schools
6.1347654,80.7712348,schools
6.1106502,80.9299973,schools
6.1108083,80.9303136,schools
6.1121584,80.9314248,schools
6.0176635,80.4922709,schools
6.0219288,80.4911941,schools
5.954158,80.537472,schools
6.0780927,80.2741019,schools
6.0780389,80.2748981,schools
6.0782262,80.2744547,schools
6.0780513,80.2742766,schools
6.2926859,80.1648616,schools
5.9369019,80.5205104,schools
6.3263696,80.8525633,schools
6.0229586,80.7948235,schools
6.0221861,80.7951063,schools
5.9433044,80.4949256,schools
5.967344,80.4846493,schools
6.0928067,80.358699,schools
6.2783706,80.4578659,schools
6.0714512,80.2332797,schools
6.1222761,80.1166575,schools
6.0449426,80.2239077,schools
5.9368283,80.6145216,schools
6.0889185,80.4799346,schools
5.9372079,80.6120109,schools
6.1089028,80.9780607,schools
6.0924624,80.871369,schools
6.0345629,80.21665,schools
6.0253894,80.217888,schools
6.478254,80.1357522,schools
6.0408271,80.2002637,schools
6.0495058,80.2301945,schools
5.9579893,80.5118748,schools
5.9448226,80.5354982,schools
6.4304293,80.7717861,schools
6.059779,80.5447967,schools
6.0541946,80.5319377,schools
6.4412204,80.6905635,schools
6.4424691,80.7215497,schools
6.3656503,80.6986007,schools
6.3903111,80.7091834,schools
6.3824637,80.6817578,schools
6.4211479,80.666834,schools
6.146323,80.2321606,schools
6.1479671,80.2685702,schools
6.1402214,80.292061,schools
6.2271196,80.2975454,schools
6.4143177,80.3362235,schools
6.048897,80.2229951,schools
6.0537455,80.2169614,schools
6.0693024,80.297431,schools
6.0674534,80.3313074,schools
6.4343587,80.6586506,schools
6.4312282,80.6402412,schools
6.1837041,80.2980745,schools
6.056238,80.1844279,schools
6.428351,81.1008985,schools
6.0532773,80.2168552,schools
6.0518837,80.2049013,schools
6.0526018,80.2034884,schools
6.0623986,80.1771183,schools
6.0257799,80.2436588,schools
6.0239695,80.2421987,schools
6.0524608,80.2393408,schools
6.0429013,80.7642719,schools
6.0339425,80.2375007,schools
6.0413225,80.2430368,schools
6.0372349,80.2420035,schools
6.0740082,80.2432978,schools
6.0636749,80.2430346,schools
6.0546661,80.2289275,schools
6.0697527,80.1709548,schools
6.0709259,80.1783447,schools
6.0728694,80.2321975,schools
6.0714117,80.1795688,schools
6.0668385,80.1797408,schools
6.0719045,80.2188134,schools
6.0712704,80.2178543,schools
6.0671963,80.2158192,schools
6.0605472,80.1936008,schools
5.9483306,80.5837798,schools
5.9648688,80.5929797,schools
6.0916215,80.1405058,schools
6.0916898,80.1404364,schools
6.0917294,80.1402955,schools
6.0918704,80.1404103,schools
6.0918389,80.1406321,schools
6.133949,80.2526103,schools
6.1122988,80.9306771,schools
6.1122589,80.9303355,schools
6.1121634,80.9303477,schools
6.1121884,80.929981,schools
6.1120527,80.9296694,schools
6.1111227,80.9302938,schools
6.1106192,80.9303589,schools
6.1106967,80.930386,schools
6.1106694,80.9302134,schools
6.111223,80.9307241,schools
6.1114439,80.9309965,schools
6.1114644,80.9310531,schools
6.1114926,80.9312603,schools
6.1116533,80.9312941,schools
6.1117266,80.9314983,schools
6.1117365,80.9312472,schools
6.1117116,80.9310761,schools
6.1118187,80.931071,schools
6.1117886,80.9309498,schools
6.1120476,80.9307946,schools
6.1120221,80.9308963,schools
6.1120054,80.9311965,schools
6.1121447,80.9311785,schools
6.1122815,80.9308526,schools
6.1122572,80.9311489,schools
6.112357,80.9309493,schools
6.1123959,80.9311768,schools
6.4102436,80.3308766,schools
6.4104033,80.330665,schools
6.0697639,80.2153492,schools
6.2468822,80.1709417,schools
6.253491,80.1413372,schools
6.295335,80.1662023,schools
5.9440091,80.5522,schools
6.3470768,80.1677694,schools
6.3840883,80.3250206,schools
6.0089426,80.5187153,schools
6.2989041,81.0855335,schools
6.1063924,80.2206579,schools
6.0977086,80.2284786,schools
6.0123013,80.3923171,schools
6.1841769,80.1551879,schools
6.4279245,80.7111011,schools
6.4233001,80.6539111,schools
6.0394568,80.2845629,schools
6.1573648,80.0995226,schools
6.1527667,80.1027735,schools
6.0779855,80.6770544,schools
6.027415,80.3094759,schools
6.2931601,80.8428043,schools
6.0515988,80.2861963,schools
6.4380288,80.1930781,schools
6.4371965,80.1915365,schools
6.1226535,80.3093086,schools
6.2549943,80.462801,schools
6.3026672,80.1842577,schools
5.9975235,80.4556328,schools
5.9738887,80.4245976,schools
6.3011179,80.5140652,schools
6.2771499,80.1425143,schools
6.2762369,80.14164,schools
6.2752507,80.1428254,schools
6.4746695,80.6593302,schools
6.4754035,80.610954,schools
6.471897,80.610651,schools
6.471463,80.6124451,schools
6.4690592,80.6938338,schools
6.4580514,80.7031772,schools
6.4973754,80.5457343,schools
6.474171,80.5938413,schools
6.4924711,80.6021813,schools
6.0922136,80.1402652,schools
6.0920488,80.140323,schools
6.0920185,80.1401711,schools
6.0918127,80.1399835,schools
6.0915542,80.1402482,schools
6.3668954,80.2145746,schools
6.3665884,80.2145672,schools
6.36673,80.2145066,schools
6.3673067,80.214048,schools
6.3551074,80.8464548,schools
6.3649931,80.8159259,schools
6.3418506,80.7765022,schools
6.3442304,80.7750992,schools
6.238514,80.2655709,schools
6.2335766,80.2626841,schools
6.2222225,80.2556567,schools
6.0271022,80.6533659,schools
