poi_lat,poi_lon,category
6.9183511,79.8744749,schools
6.9205026,79.8752903,schools
6.9277024,79.8648297,schools
6.9234421,79.8736809,schools
6.9064357,79.8707846,schools
6.9481518,79.8747958,schools
7.0753583,79.8590782,schools
6.9868082,79.8698714,schools
6.8997496,79.8564536,schools
6.9168028,79.8475967,schools
6.8664231,79.8802961,schools
6.8858698,79.8581249,schools
6.8747942,79.8614195,schools
6.9005918,79.8672375,schools
6.9137171,79.8533097,schools
6.9136106,79.8527947,schools
6.8723063,79.893517,schools
6.8920362,79.900427,schools
6.8450065,79.9352518,schools
6.8432797,79.9352557,schools
6.884889,79.8729767,schools
6.9064618,79.8711849,schools
6.9068559,79.8720539,schools
6.890663,79.8734409,schools
6.8484516,79.8701386,schools
6.8756454,79.8621808,schools
6.8765387,79.8616,schools
6.8764762,79.86423,schools
6.862447,79.8953078,schools
6.9145596,79.8531046,schools
6.9079768,79.8553092,schools
6.8945644,79.8574567,schools
6.8803581,79.8682536,schools
6.8958781,79.8933923,schools
6.8930981,79.8888111,schools
6.882926,79.902713,schools
6.902909,79.9240445,schools
6.8681009,79.8974008,schools
6.9416932,79.8780917,schools
6.9632624,79.8629591,schools
6.9212156,79.8731312,schools
6.9176583,79.8743972,schools
6.9183324,79.871217,schools
6.9169021,79.872584,schools
6.9231206,79.8669875,schools
6.8894197,79.8819761,schools
6.9266367,79.8729488,schools
6.9289905,79.8749014,schools
6.9269456,79.869655,schools
6.9272438,79.868389,schools
6.9273503,79.8694405,schools
6.9295763,79.8784098,schools
6.9408877,79.8598042,schools
6.9431455,79.8594823,schools
6.9419846,79.8597076,schools
6.9414628,79.8623362,schools
6.9442744,79.8580769,schools
6.9437845,79.8583558,schools
6.9112867,79.8948303,schools
6.91625,79.8921374,schools
6.9143967,79.8903242,schools
6.9258036,79.895989,schools
6.9534804,79.8905296,schools
6.9485708,79.8853368,schools
6.901712,79.8711525,schools
7.0908254,79.9931216,schools
6.8448237,79.9302225,schools
6.874376,79.9933818,schools
6.9748682,79.8778552,schools
